,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
38,199,"I-70, EXIT 252",PETRO STOPPING CENTER #366,Salina,KS,523,3.80566666,38.8402805,-97.61142369999999,38.8402805,-97.61142369999999
39,203,"I-80/94, EXIT 2",PILOT TRAVEL CENTER #31,Highland,IN,365,3.814,41.567506,-87.47264799999999,41.5536468,-87.451984
40,207,SR-32,MARATHON,Sardinia                                ,OH,300,3.56566666,39.0146985,-83.8096087,39.0078448,-83.8085377
41,216,"I-10, EXIT 50",CIRCLE K #2721593,Ocean Springs,MS,715,3.41566666,30.45170139999999,-88.8411101,30.4113097,-88.8278057
42,217,"I-70, EXIT 252",NORTH 9TH 24/7,Salina,KS,523,3.02566666,38.8411832,-97.6120636,38.8402805,-97.61142369999999
43,231,"I-75, EXIT 62 & US-25",DERBY CITYS TRUCK PLAZA,Mount Vernon,KY,410,2.999,37.3812754,-84.329582,37.3528615,-84.3404919
44,235,"I-75, EXIT 358",PILOT TRAVEL CENTERS #92,Ocala,FL,225,3.385666665,29.1921007,-82.1814122,29.1871986,-82.14009229999999
45,240,"I-10, EXIT 153 & SR-1",LA 1 SOUTH TRUCKSTOP,Port Allen,LA,600,3.039,30.42351799999999,-91.2168678,30.4474878,-91.20732609999999
46,243,US-41 & SR-10,SAVE,Lake Village,IN,399,3.179,41.1298605,-87.4533321,41.1375346,-87.44864369999999
47,244,"I-10, EXIT 92 & SR-95",BIG D TRUCK TRAVEL PLAZA,Duson,LA,725,2.98233333,30.2423505,-92.1943768,30.2357577,-92.18540349999999
48,248,"I-10, EXIT 236",Mardi Gras Truck Stop,New Orleans,LA,725,3.729,29.9826675,-90.0574896,29.9508941,-90.07583559999999
49,250,"I-70/US-40, EXIT 159 & US-183",GOLDEN OX TRUCK STOP,Hays,KS,523,3.499,38.8962174,-99.31705910000001,38.8791783,-99.3267702
50,253,"I-40, EXIT 280 & I-55, EXIT 4",LOVES TRAVEL STOP #450,West Memphis,AR,435,3.32566666,35.1540107,-90.1386223,35.1465418,-90.18478619999999
51,256,"I-68/US-40, EXIT 22 & US-219",BFS FOODS #66,Grantsville                             ,MD,165,3.899,39.7003348,-79.16183939999999,39.6950833,-79.15114109999999
52,257,I-15 & 31ST STREET EXIT 277,PILOT TRAVEL CENTER #917- TOWN PUMP,Great Falls                             ,MT,815,3.63566666,47.5052849,-111.3007715,47.5052849,-111.3007715
53,263,I-94 EXIT 16,CASEYS #3956,Bridgman,MI,465,3.559,41.9315417,-86.5696761,41.9430986,-86.5569659
